transaction_id,sender_id,receiver_id,amount,timestamp
TXN_00013681,ACC_006343,ACC_010952,9.57,2026-01-29 15:26:31
TXN_00056050,ACC_000872,ACC_004876,72115107.89,2026-02-17 12:05:01
TXN_00010704,ACC_003715,ACC_003454,9.24,2026-01-12 11:47:41
TXN_00022484,ACC_013011,ACC_003912,96016.08,2026-02-14 09:26:49
TXN_00026565,ACC_014039,ACC_018027,0.06,2026-01-19 02:02:34
TXN_00007050,ACC_006076,ACC_013822,27413.59,2026-02-27 14:03:10
TXN_00011942,ACC_010741,ACC_003141,734049.31,2026-01-24 10:03:15
TXN_00033527,ACC_007665,ACC_014792,120573.03,2026-02-13 09:20:39
TXN_00013911,ACC_007035,ACC_007628,5135.06,2026-01-15 17:36:21
TXN_00023609,ACC_010937,ACC_013777,40149586.22,2026-02-06 12:35:40
TXN_00029537,ACC_011645,ACC_014072,87464721.58,2026-01-28 18:49:17
TXN_00046146,ACC_012438,ACC_011214,222.22,2026-02-01 13:18:12
TXN_00007157,ACC_008227,ACC_003070,60.94,2026-01-25 23:48:45
TXN_00034496,ACC_004786,ACC_006362,1.81,2026-02-27 09:18:40
TXN_00017414,ACC_003734,ACC_004898,743.94,2026-02-20 16:07:10
TXN_00052624,ACC_014251,ACC_004238,1.39,2026-02-03 08:50:24
TXN_00023974,ACC_005153,ACC_006154,216.03,2026-02-05 12:27:43
TXN_00024729,ACC_002823,ACC_013157,6736720.89,2026-01-23 18:47:33
TXN_00040153,ACC_000444,ACC_015474,0.54,2026-01-22 08:58:01
TXN_00011458,ACC_017741,ACC_001192,103049.14,2026-01-07 14:24:31
TXN_00001372,ACC_007588,ACC_003577,30.0,2026-02-09 04:56:53
TXN_00054865,ACC_008429,ACC_007156,806548.86,2026-01-16 10:15:34
TXN_00002604,ACC_006660,ACC_005438,0.03,2026-02-23 14:13:39
TXN_00027104,ACC_000977,ACC_018023,6664.23,2026-01-27 16:17:23
TXN_00004660,ACC_013648,ACC_001329,880.05,2026-01-13 16:50:47
TXN_00022855,ACC_014307,ACC_000006,110.72,2026-02-11 02:14:42
TXN_00003911,ACC_002423,ACC_010102,3677.28,2026-02-27 12:10:28
TXN_00024045,ACC_005433,ACC_008989,440.06,2026-02-26 09:27:56
TXN_00025523,ACC_000007,ACC_012130,0.51,2026-02-09 10:33:46
TXN_00008839,ACC_007632,ACC_018523,5174.02,2026-01-09 20:20:35
TXN_00008152,ACC_005683,ACC_017767,654.18,2026-01-06 08:27:46
TXN_00016632,ACC_012500,ACC_010309,41351762662.41,2026-02-20 11:50:50
TXN_00054033,ACC_018045,ACC_006629,105.4,2026-01-13 09:49:09
TXN_00049345,ACC_010383,ACC_005471,16856.69,2026-01-01 14:04:22
TXN_00007760,ACC_015801,ACC_011884,4.64,2026-01-11 18:07:12
TXN_00019513,ACC_010146,ACC_010769,1.02,2026-02-08 10:37:24
TXN_00037033,ACC_001104,ACC_015397,96947512.08,2026-01-10 12:31:10
TXN_00039555,ACC_015202,ACC_011357,8409.17,2026-02-01 09:21:12
TXN_00049890,ACC_008020,ACC_009317,0.04,2026-02-18 19:46:57
TXN_00055500,ACC_015698,ACC_010986,570.68,2026-01-03 06:28:20
TXN_00043738,ACC_009687,ACC_014324,0.0,2026-02-20 02:37:42
TXN_00058864,OVERLAP1_000010,OVERLAP1_000011,11230109.06,2026-01-18 20:01:37
TXN_00043569,ACC_006125,ACC_005645,240277.57,2026-02-02 07:20:39
TXN_00017433,ACC_012713,ACC_010076,0.1,2026-02-05 10:28:00
TXN_00032457,ACC_015636,ACC_007790,0.08,2026-02-03 16:19:11
TXN_00054584,ACC_018195,ACC_009201,171101.35,2026-01-25 12:25:43
TXN_00012604,ACC_011118,ACC_005602,86847.09,2026-02-27 13:12:38
TXN_00052445,ACC_013778,ACC_010552,7390.6,2026-02-23 19:39:40
TXN_00018592,ACC_016848,ACC_016719,91.6,2026-01-21 13:25:39
TXN_00046993,ACC_008184,ACC_007882,4945.31,2026-01-19 15:47:12
TXN_00043985,ACC_001053,ACC_001586,3.1,2026-02-02 18:37:01
TXN_00021800,ACC_009484,ACC_014403,294.37,2026-01-01 17:26:19
TXN_00012478,ACC_006178,ACC_007140,0.5,2026-02-21 15:26:58
TXN_00021886,ACC_003091,ACC_017772,1738.68,2026-02-10 10:40:41
TXN_00026798,ACC_009991,ACC_002441,500237.94,2026-01-20 16:50:47
TXN_00019606,ACC_013460,ACC_015229,94704.0,2026-02-20 18:56:46
TXN_00051917,ACC_003133,ACC_001708,29190.3,2026-02-15 01:38:38
TXN_00001597,ACC_007835,ACC_010111,114.08,2026-01-02 07:34:42
TXN_00020323,ACC_001625,ACC_012855,95.21,2026-02-15 12:15:11
TXN_00013207,ACC_008238,ACC_007554,4.82,2026-01-13 12:54:17
TXN_00035760,ACC_018744,ACC_011243,999.03,2026-01-09 09:51:37
TXN_00007848,ACC_006826,ACC_017699,557.9,2026-02-05 19:47:31
TXN_00024468,ACC_007668,ACC_012340,456316.41,2026-01-06 16:57:45
TXN_00050285,ACC_004742,ACC_009432,106.0,2026-01-28 15:23:49
TXN_00034002,ACC_016888,ACC_015095,6078.36,2026-01-06 19:00:32
TXN_00043552,ACC_012544,ACC_018397,115783.16,2026-01-08 05:53:50
TXN_00023823,ACC_016346,ACC_010866,103824.2,2026-02-05 10:25:33
TXN_00027953,ACC_009854,ACC_015597,28.34,2026-01-02 19:25:21
TXN_00035447,ACC_015219,ACC_015305,167268.1,2026-02-06 13:44:16
TXN_00052522,ACC_004907,ACC_006924,245602.53,2026-01-14 13:30:41
TXN_00004746,ACC_013081,ACC_003155,0.0,2026-01-25 06:56:40
TXN_00047340,ACC_010555,ACC_018416,7.37,2026-02-13 09:05:58
TXN_00000210,ACC_006760,ACC_017657,869050.47,2026-01-21 12:12:39
TXN_00045643,ACC_008445,ACC_015382,138966.39,2026-01-02 11:36:17
TXN_00005330,ACC_002522,ACC_012237,227.52,2026-01-08 14:16:16
TXN_00023619,ACC_004231,ACC_017332,1336013.7,2026-02-25 12:18:12
TXN_00036021,ACC_016171,ACC_010836,11.02,2026-02-14 18:51:19
TXN_00026309,ACC_013324,ACC_006702,55.62,2026-02-17 15:28:31
TXN_00057439,ACC_015441,ACC_017771,2388883.77,2026-01-09 10:30:18
TXN_00001075,ACC_014693,ACC_010433,0.18,2026-01-11 21:42:51
TXN_00013411,ACC_007874,ACC_016261,16.03,2026-01-15 12:46:47
TXN_00020424,ACC_016351,ACC_007847,5168.23,2026-02-28 08:26:51
TXN_00010579,ACC_001827,ACC_010726,6.13,2026-01-29 12:33:53
TXN_00044961,ACC_016991,ACC_015458,295907.34,2026-01-02 16:50:21
TXN_00056296,ACC_007456,ACC_007452,16512.34,2026-02-19 09:26:43
TXN_00035360,ACC_003591,ACC_001313,305973.4,2026-01-26 19:27:41
TXN_00032622,ACC_013996,ACC_016681,0.07,2026-01-18 16:22:52
TXN_00001496,ACC_011398,ACC_014963,822275.47,2026-01-09 16:48:32
TXN_00043775,ACC_012415,ACC_001694,3014448.3,2026-02-26 18:26:42
TXN_00045394,ACC_011166,ACC_002031,193.79,2026-01-23 10:32:19
TXN_00039864,ACC_014761,ACC_018692,444.87,2026-02-07 17:52:13
TXN_00036747,ACC_008902,ACC_008595,50.17,2026-01-01 09:37:37
TXN_00038142,ACC_006280,ACC_016893,2246.87,2026-02-16 18:57:50
TXN_00024616,ACC_010744,ACC_002402,0.96,2026-02-27 23:45:41
TXN_00008013,ACC_007182,ACC_001037,9758989.53,2026-01-31 15:02:50
TXN_00017830,ACC_005159,ACC_008032,102012.19,2026-01-30 11:25:43
TXN_00056256,ACC_017276,ACC_002218,2.81,2026-02-05 15:49:30
TXN_00022842,ACC_006990,ACC_014197,750.52,2026-01-16 11:40:45
TXN_00057221,ACC_010110,ACC_003630,52434.5,2026-02-17 10:49:11
TXN_00015363,ACC_014473,ACC_003133,215.81,2026-02-19 12:04:46
TXN_00017125,ACC_004796,ACC_000300,0.01,2026-01-27 14:39:41
